model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2
64,0.8086545867615982,0.7041439044594868,0.653922240690571,0.49581863818745087,0.6139842358660106,0.5273637416900034,0.2588932982574913,0.471101830637343,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
65,0.8164111701709102,0.7113768302529802,0.666527198779835,0.5060569946207774,0.6211812159229901,0.5304238748166825,0.24460777876625672,0.46018040179661934,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
66,0.7924847601361401,0.5801359381998997,0.6280320950480356,0.3365577067910779,0.5961487072257176,0.42684301291610477,0.28823525858676513,0.6409881733017913,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
67,0.7917288151719796,0.5847938626738955,0.6268345167736266,0.34198386182105506,0.5995412012256236,0.42874317814639223,0.28959250449430374,0.6352000014966244,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
68,0.8090911126492438,0.5793187539465383,0.6546284285679913,0.33561021867416974,0.6094153526920704,0.42725883286541716,0.2580929575807577,0.6419988749816586,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
69,0.9023905630736223,0.5718430514100308,0.8143087283243291,0.32700447544593514,0.6856329324523115,0.4181510483693756,0.07712321389884502,0.6511787675650786,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
70,0.8683260139727165,0.5610813634292658,0.7539900665417463,0.31481229638764385,0.6534065597658864,0.4079491170150234,0.14548388693544945,0.6641843722112558,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
71,0.8497885180418615,0.561713964580661,0.7221405253957831,0.3155225780049241,0.64249843742669,0.40944978099706575,0.18157978170998768,0.6634267027366173,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
72,0.874332780845789,0.8367122092884228,0.7644578116615306,0.7000873211723135,0.6712684298374483,0.6369674375593812,0.1336205252424565,0.2532049543041669,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
73,0.8753209298593678,0.8338230471907571,0.7661867302498684,0.6952608740264795,0.6743513505298661,0.6366189093979479,0.13166109784749414,0.2583534075153836,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
74,0.8720991913331251,0.8336657260120408,0.7605569995238908,0.6949985427271831,0.6695217755652616,0.6350723082091788,0.13804141481854815,0.2586332407714944,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.01, 'min_impurity_decrease': 0.2}
75,0.7886654966943838,0.6599890707536981,0.6219932656761992,0.43558557351432986,0.6020182268264529,0.49080618527625647,0.2950792174547512,0.5353534645758644,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0}
76,0.7843726391637839,0.6557527845604905,0.6152404370687595,0.430011714458837,0.6038868074413893,0.4878366753184776,0.30273236981030793,0.5412991947757466,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.1}
77,0.7763461703921044,0.6502266588423287,0.6027133762824864,0.4227947078692581,0.5916319997395738,0.48458678373308683,0.316929606307477,0.548997698380735,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.1, 'min_impurity_decrease': 0.2}
78,0.8131780537650128,0.5352016116214354,0.6612585471250542,0.2864407650821818,0.6142744425112715,0.39600293974285733,0.25057887564527004,0.6944487669188245,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0}
79,0.8149806118641199,0.5310217243720077,0.6641933977144152,0.2819840717550205,0.6150128389441762,0.3909078656875817,0.2472527348519985,0.6992027974465258,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}
80,0.8008233895567893,0.5299093021749266,0.6413181012612251,0.2808038685315177,0.6041345332935664,0.38980968691148765,0.27317788994062586,0.7004617402863279,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 0.5, 'min_impurity_decrease': 0.2}
81,0.8525724812162611,0.5027588495890757,0.7268798357272518,0.2527664608401309,0.6536879998310094,0.3693847077233142,0.1762086008115068,0.7303697196552734,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0}
82,0.8569524582540942,0.5064230811749089,0.734367515707735,0.25646433714668837,0.6441815371521139,0.3696562330830646,0.16772262271083982,0.7264251321419488,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}
83,0.8476454830358906,0.5131894484347687,0.7185028649111482,0.2633634099847821,0.62707340524523,0.37358842921797253,0.18570243482693893,0.7190657738739608,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 100, 'learning_rate': 1.0, 'min_impurity_decrease': 0.2}
84,0.8323564266228803,0.7745372378346486,0.6928172209404103,0.599907932792527,0.6459894973669531,0.5832502413608044,0.2148126282119862,0.36006801075487693,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0}
85,0.8386785107962155,0.7711095465530531,0.7033816444713578,0.5946099327852552,0.6494910755669019,0.580351270031273,0.20283969841751515,0.36571947741892363,GradientBoostingRegressor,{'max_depth': 3, 'loss': 'absolute_error', 'n_estimators': 200, 'learning_rate': 0.01, 'min_impurity_decrease': 0.1}
