,model,hyperparams,mse,rmse,mae,r2
117,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500}",0.8628904582992383,0.9289189729461006,0.6886437112859182,0.07584643328564744
83,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.8628346491175681,0.9288889326058138,0.7110987335970756,0.07590620478248078
138,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 5}",0.8616903447242433,0.9282727749558549,0.7028124770368438,0.07713175198412958
101,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.861351487068577,0.9280902364902763,0.7071635653810217,0.0774946677031303
285,SVR,"{'C': 10, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 'scale', 'degree': 3}",0.8602170828870018,0.9274788854130329,0.6934594015862966,0.07870961180225111
132,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 500}",0.8589344166853672,0.9267871474537005,0.6942321813362146,0.08008334416160645
227,SVR,"{'C': 0.1, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.05, 'degree': 3}",0.8583159108538528,0.9264534045778302,0.7121512897659221,0.08074576239178854
226,SVR,"{'C': 0.1, 'kernel': 'linear', 'epsilon': 1, 'gamma': 0.1, 'degree': 3}",0.8583159108538528,0.9264534045778302,0.7121512897659221,0.08074576239178854
225,SVR,"{'C': 0.1, 'kernel': 'linear', 'epsilon': 1, 'gamma': 'scale', 'degree': 3}",0.8583159108538528,0.9264534045778302,0.7121512897659221,0.08074576239178854
107,MLPRegressor,"{'hidden_layer_sizes': (100,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 200}",0.8577393674384122,0.9261421961223947,0.7137695447634884,0.0813632389771658
248,SVR,"{'C': 1, 'kernel': 'rbf', 'epsilon': 0.01, 'gamma': 0.05, 'degree': 3}",0.8575900422139084,0.9260615758219906,0.6898351382836748,0.08152316592675513
133,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.001, 'max_iter': 1000}",0.8569545497676649,0.9257183965805502,0.6934975385630892,0.08220377677969404
119,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200}",0.8561080488694517,0.9252610706548999,0.7028039720777288,0.08311037716771164
127,MLPRegressor,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000}",0.8560929673279281,0.9252529207346109,0.7145870170455372,0.08312652946173282
323,SVR,"{'C': 100, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",0.8554766209890804,0.9249197916517304,0.704780350414764,0.08378663488055982
359,SVR,"{'C': 1000, 'kernel': 'rbf', 'epsilon': 0.1, 'gamma': 0.05, 'degree': 3}",0.8554766209890804,0.9249197916517304,0.704780350414764,0.08378663488055982
139,GradientBoostingRegressor,"{'n_estimators': 10, 'learning_rate': 0.1, 'max_depth': 7}",0.8552927974429875,0.9248204136171452,0.6983547690187456,0.08398350944804855
87,MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500}",0.8517935773717751,0.9229266370474822,0.7054692151904415,0.08773116557105543
150,GradientBoostingRegressor,"{'n_estimators': 100, 'learning_rate': 0.1, 'max_depth': 5}",0.8476762880045506,0.9206933734987728,0.693092899461855,0.0921407723957911
