model,hyperparams,mse,train_mse,rmse,train_rmse,mae,train_mae,r2,train_r2,split,preprocessing
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.44800755429218037,0.1850098852722036,0.6693336643948071,0.430127754594148,0.5231617895133215,0.3328348592643864,0.5034340496637374,0.7995779912663697,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4486695689120061,0.1289378389428931,0.6698280144275888,0.35907915414695557,0.5152066706001781,0.26921584647463725,0.502700280967918,0.8603210815212018,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.4487537786748091,0.19358087065085577,0.669890870720604,0.43997826156624575,0.5224196637279703,0.3469686228043291,0.5026069439237247,0.79029300574309,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.4490821366367091,0.15000328838324742,0.6701359090786801,0.3873025798819928,0.5196980839340811,0.3036710835847031,0.5022429960799011,0.8375007890514196,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.44971227415035425,0.018768919938630807,0.670605900772096,0.13699970780491033,0.5132348543989326,0.03332249042607279,0.5015445595684898,0.9796675478700692,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 'scale'}",0.4497122741505069,0.018768919938638187,0.6706059007722098,0.13699970780493725,0.5132348543991032,0.033322490426075206,0.5015445595683206,0.9796675478700612,0.9,Fingerprints
SVR,"{'C': 1000, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05}",0.44971454111902787,0.018768185339984055,0.6706075910090996,0.13699702675599953,0.5132348913493773,0.03332218545582457,0.5015420468888641,0.9796683436639597,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.1}",0.44971454112332393,0.018768185340097235,0.6706075910123027,0.13699702675641262,0.5132348913509942,0.03332218545553586,0.5015420468841023,0.9796683436638371,0.9,Fingerprints
SVR,"{'C': 100, 'kernel': 'poly', 'epsilon': 0.01, 'gamma': 0.05}",0.4497145411247458,0.01876818534021366,0.6706075910133629,0.13699702675683753,0.5132348913494357,0.03332218545507256,0.5015420468825265,0.979668343663711,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'sgd'}",0.4508943064289223,0.3248185296898782,0.6714866390546593,0.5699285303350572,0.5366376470371638,0.440709455613924,0.5002344098263439,0.6481226822092915,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'sgd'}",0.450902083611871,0.32510476478244515,0.6714924300480766,0.570179589938508,0.5366418823444086,0.440925315924969,0.5002257896943731,0.6478126024957782,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.451011997802399,0.1362228949608414,0.6715742682700098,0.36908385898172436,0.5192121988596412,0.27121268314918684,0.5001039621851,0.852429148834978,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4515409080713124,0.12886529684095832,0.671967936788142,0.35897812863872125,0.5185015423845849,0.26297887988862834,0.4995177246812692,0.8603996666939138,0.9,Fingerprints
MLPRegressor,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200, 'solver': 'sgd'}",0.45369731169155375,0.3495775894208487,0.6735705691993629,0.5912508684313695,0.5334175983160212,0.45890308746954156,0.49712759397312645,0.6213010857398049,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.45370546248139815,0.18870502036995931,0.6735766196071522,0.43440191110302373,0.5218866992180521,0.33562406655068583,0.49711855973996166,0.7955750354364975,0.9,Fingerprints
RandomForestRegressor,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.4538317899375082,0.19147506546275866,0.6736703867155719,0.4375786391755871,0.5213559806307464,0.34548713905912015,0.4969785399731165,0.7925742336092614,0.9,Fingerprints
