,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
77,,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'relu', 'alpha': 0.01, 'max_iter': 1000, 'solver': 'adam'}",0.8190646647442908,0.8911028089110281,0.8184818481848185,0.8875413450937155,0.7773851590106007,0.8387096774193549,0.8239700374531835,0.9191919191919192,0.8,0.8771084337349397
78,,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.01}",0.8189486593086076,0.9951076320939336,0.8201320132013201,0.9944873208379272,0.7883211678832117,0.9875311720698254,0.8089887640449438,1.0,0.798521256931608,0.9937264742785444
79,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.8188326538729244,0.9925823795686808,0.8217821782178217,0.9922822491730982,0.8,0.987468671679198,0.7940074906367042,0.9949494949494948,0.7969924812030076,0.9911949685534592
80,,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 0.05}",0.8188326538729244,0.9729807863369508,0.8217821782178217,0.9724366041896362,0.8,0.9602977667493796,0.7940074906367042,0.9772727272727272,0.7969924812030076,0.9687108886107636
81,,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 2, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8185509263862649,0.9809667121310957,0.8201320132013201,0.980154355016538,0.7904411764705882,0.9678217821782178,0.8052434456928839,0.9873737373737372,0.797773654916512,0.9775
82,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8182691988996056,0.9623757140880428,0.8184818481848185,0.9592061742006616,0.7813620071684588,0.9243498817966904,0.8164794007490637,0.9873737373737372,0.7985347985347986,0.9548229548229548
83,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8181531934639223,0.9599764770997647,0.8201320132013201,0.958103638368247,0.7925925925925926,0.932367149758454,0.8014981273408239,0.9747474747474748,0.7970204841713221,0.9530864197530864
84,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8181531934639223,0.9647428294688568,0.8201320132013201,0.9625137816979052,0.7925925925925926,0.935096153846154,0.8014981273408239,0.9823232323232324,0.7970204841713221,0.958128078817734
85,,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8181531934639223,0.9871217062997883,0.8201320132013201,0.9867695700110254,0.7925925925925926,0.98,0.8014981273408239,0.98989898989899,0.7970204841713221,0.9849246231155778
86,,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.8181531934639223,0.9473823360809662,0.8201320132013201,0.9448732083792724,0.7925925925925926,0.911904761904762,0.8014981273408239,0.9671717171717172,0.7970204841713221,0.9387254901960784
