,Classifier,Accuracy
119,"MLPClassifier-(50, 50)-relu-0.001-1000",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
120,"MLPClassifier-(50, 50)-relu-0.01-200",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
121,"MLPClassifier-(50, 50)-relu-0.01-500",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
122,"MLPClassifier-(50, 50)-relu-0.01-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
123,"MLPClassifier-(50, 50)-tanh-0.0001-200",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
124,"MLPClassifier-(50, 50)-tanh-0.0001-500",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
125,"MLPClassifier-(50, 50)-tanh-0.0001-1000",Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
126,"MLPClassifier-(50, 50)-tanh-0.001-200",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
127,"MLPClassifier-(50, 50)-tanh-0.001-500",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
128,"MLPClassifier-(50, 50)-tanh-0.001-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
129,"MLPClassifier-(50, 50)-tanh-0.01-200",Accuracy: 0.5683794466403163 | ROC-AUC: 0.5 | Precision: 0.0 | Recall: 0.0 | F1: 0.0
130,"MLPClassifier-(50, 50)-tanh-0.01-500",Accuracy: 0.44189723320158103 | ROC-AUC: 0.5061759056891184 | Precision: 0.43474714518760194 | Recall: 0.9761904761904762 | F1: 0.6015801354401806
131,"MLPClassifier-(50, 50)-tanh-0.01-1000",Accuracy: 0.558102766798419 | ROC-AUC: 0.4938240943108815 | Precision: 0.3333333333333333 | Recall: 0.023809523809523808 | F1: 0.044444444444444446
132,GradientBoostingClassifier-10-0.1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
133,GradientBoostingClassifier-10-0.5,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
134,GradientBoostingClassifier-10-1.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
135,GradientBoostingClassifier-10-2.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
136,GradientBoostingClassifier-100-0.1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
137,GradientBoostingClassifier-100-0.5,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
138,GradientBoostingClassifier-100-1.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
139,GradientBoostingClassifier-100-2.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
140,GradientBoostingClassifier-200-0.1,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
141,GradientBoostingClassifier-200-0.5,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
142,GradientBoostingClassifier-200-1.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
143,GradientBoostingClassifier-200-2.0,Accuracy: 0.4316205533596838 | ROC-AUC: 0.5 | Precision: 0.4316205533596838 | Recall: 1.0 | F1: 0.6029817780231916
