Unnamed: 0,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1,split,preprocessing
,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.822507350975675,0.9862459277973539,0.8283828382838284,0.9859504132231405,0.808,0.9795918367346939,0.7829457364341085,0.9887640449438202,0.7952755905511811,0.9841565703634668,0.8,Fingerprints
,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8217722534081797,0.9083560490215633,0.8217821782178217,0.9066115702479339,0.7737226277372263,0.8725663716814159,0.8217054263565892,0.9232209737827716,0.7969924812030076,0.897179253867152,0.8,Descriptors
,SVC,"{'C': 10, 'kernel': 'rbf', 'gamma': 'scale'}",0.8217722534081797,0.9083560490215633,0.8217821782178217,0.9066115702479339,0.7737226277372263,0.8725663716814159,0.8217054263565892,0.9232209737827716,0.7969924812030076,0.897179253867152,0.8,DescFing
,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200, 'solver': 'sgd'}",0.8178962844159317,0.8945077898189394,0.8184818481848185,0.8942148760330578,0.7720588235294118,0.8677536231884058,0.813953488372093,0.897003745318352,0.7924528301886792,0.8821362799263351,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.8178962844159317,0.8318041796866343,0.8184818481848185,0.8314049586776859,0.7720588235294118,0.7935943060498221,0.813953488372093,0.8352059925093633,0.7924528301886792,0.8138686131386862,0.8,DescFing
,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 10, 'learning_rate': 0.5, 'min_impurity_decrease': 0.1}",0.8177626303127506,0.9145252975201117,0.8217821782178217,0.915702479338843,0.7906976744186046,0.9044943820224719,0.7906976744186046,0.9044943820224719,0.7906976744186046,0.9044943820224719,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.0001, 'max_iter': 200, 'solver': 'adam'}",0.8177626303127506,0.9890549165613988,0.8217821782178217,0.9884297520661157,0.7906976744186046,0.9797047970479705,0.7906976744186046,0.9943820224719101,0.7906976744186046,0.9869888475836431,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500, 'solver': 'sgd'}",0.8168938786420743,0.8297348358930035,0.8184818481848185,0.8297520661157025,0.7761194029850746,0.7939068100358423,0.8062015503875969,0.8295880149812734,0.7908745247148288,0.8113553113553114,0.8,DescFing
,SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 0.1}",0.8130179096498262,0.8838618886155619,0.8151815181518152,0.8842975206611571,0.7744360902255639,0.8608058608058609,0.7984496124031008,0.8801498127340824,0.7862595419847329,0.8703703703703703,0.8,Descriptors
,SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 0.05}",0.8130179096498262,0.8838618886155619,0.8151815181518152,0.8842975206611571,0.7744360902255639,0.8608058608058609,0.7984496124031008,0.8801498127340824,0.7862595419847329,0.8703703703703703,0.8,Descriptors
,SVC,"{'C': 1, 'kernel': 'linear', 'gamma': 'scale'}",0.8130179096498262,0.8838618886155619,0.8151815181518152,0.8842975206611571,0.7744360902255639,0.8608058608058609,0.7984496124031008,0.8801498127340824,0.7862595419847329,0.8703703703703703,0.8,Descriptors
,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8120155038759691,0.9890549165613988,0.8151815181518152,0.9884297520661157,0.7786259541984732,0.9797047970479705,0.7906976744186046,0.9943820224719101,0.7846153846153846,0.9869888475836431,0.8,Descriptors
,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.8120155038759691,0.9890549165613988,0.8151815181518152,0.9884297520661157,0.7786259541984732,0.9797047970479705,0.7906976744186046,0.9943820224719101,0.7846153846153846,0.9869888475836431,0.8,Descriptors
,GradientBoostingClassifier,"{'max_depth': 7, 'loss': 'exponential', 'n_estimators': 50, 'learning_rate': 1.0, 'min_impurity_decrease': 0.1}",0.8110130981021118,0.9894011922966116,0.8151815181518152,0.9892561983471074,0.7829457364341085,0.9851024208566108,0.7829457364341085,0.9906367041198502,0.7829457364341085,0.9878618113912231,0.8,Fingerprints
,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.8102780005346164,0.8344081732154334,0.8085808580858086,0.8305785123966942,0.75177304964539,0.7755443886097152,0.8217054263565892,0.8670411985018727,0.7851851851851851,0.8187444739168876,0.8,Descriptors
,GradientBoostingClassifier,"{'max_depth': 5, 'loss': 'exponential', 'n_estimators': 50, 'learning_rate': 2.0, 'min_impurity_decrease': 0.2}",0.8101443464314355,0.9886615473261974,0.8118811881188119,0.9884297520661157,0.7686567164179104,0.983271375464684,0.7984496124031008,0.9906367041198502,0.7832699619771862,0.9869402985074627,0.8,Fingerprints
