,Unnamed: 0.1,model,hyperparams,roc_auc,train_roc_auc,accuracy,train_accuracy,precision,train_precision,recall,train_recall,f1,train_f1
102,75.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 4, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7981926860594769,0.9880401234567902,0.8005284015852048,0.988095238095238,0.7781065088757396,0.9846153846153848,0.775811209439528,0.9876543209876544,0.7769571639586411,0.9861325115562404
103,76.0,RandomForestClassifier,"{'max_depth': 20, 'min_samples_split': 10, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.7981115298302071,0.9834104938271604,0.7992073976221928,0.984126984126984,0.7694524495677233,0.984472049689441,0.7876106194690266,0.9783950617283952,0.7784256559766762,0.9814241486068112
104,77.0,MLPClassifier,"{'hidden_layer_sizes': (50, 50), 'activation': 'relu', 'alpha': 0.001, 'max_iter': 500, 'solver': 'adam'}",0.7981115298302071,0.9228395061728396,0.7992073976221928,0.921957671957672,0.7694524495677233,0.8931750741839762,0.7876106194690266,0.9290123456790124,0.7784256559766762,0.9107413010590016
105,78.0,MLPClassifier,"{'hidden_layer_sizes': (50,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.7979033464594713,0.8796296296296297,0.7912813738441216,0.8690476190476191,0.7245657568238213,0.7862595419847328,0.8613569321533924,0.9537037037037036,0.7870619946091644,0.8619246861924686
106,79.0,XGBClassifier,"{'max_depth': None, 'eta': 0.2, 'gamma': 0.1}",0.7978327758253235,0.9972993827160492,0.7992073976221928,0.9973544973544972,0.7710144927536232,0.9969135802469136,0.7846607669616519,0.9969135802469136,0.7777777777777778,0.9969135802469136
108,80.0,RandomForestClassifier,"{'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'min_impurity_decrease': 0, 'n_estimators': 50}",0.7978327758253235,0.9872685185185184,0.7992073976221928,0.9867724867724867,0.7710144927536232,0.9786585365853658,0.7846607669616519,0.9907407407407408,0.7777777777777778,0.9846625766871164
109,81.0,RandomForestClassifier,"{'max_depth': 7, 'min_samples_split': 2, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 200}",0.7978327758253235,0.9810956790123456,0.7992073976221928,0.98015873015873,0.7710144927536232,0.9667673716012084,0.7846607669616519,0.9876543209876544,0.7777777777777778,0.9770992366412214
111,82.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.0001, 'max_iter': 1000, 'solver': 'adam'}",0.7977516195960537,0.8707561728395061,0.797886393659181,0.8677248677248677,0.7627118644067796,0.8163841807909604,0.7964601769911505,0.8919753086419753,0.7792207792207791,0.8525073746312685
112,84.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'logistic', 'alpha': 0.01, 'max_iter': 500, 'solver': 'adam'}",0.7977057486838577,0.8688271604938271,0.7926023778071334,0.8597883597883598,0.7321428571428571,0.7823834196891192,0.8466076696165191,0.9320987654320988,0.7852257181942544,0.8507042253521128
113,83.0,MLPClassifier,"{'hidden_layer_sizes': (100,), 'activation': 'tanh', 'alpha': 0.01, 'max_iter': 200, 'solver': 'adam'}",0.7977057486838577,0.8777006172839507,0.7926023778071334,0.8690476190476191,0.7321428571428571,0.793733681462141,0.8466076696165191,0.9382716049382716,0.7852257181942544,0.8599717114568599
114,85.0,RandomForestClassifier,"{'max_depth': None, 'min_samples_split': 5, 'min_samples_leaf': 1, 'min_impurity_decrease': 0, 'n_estimators': 100}",0.79763517804971,0.996141975308642,0.8005284015852048,0.996031746031746,0.781437125748503,0.9938461538461538,0.7699115044247787,0.9969135802469136,0.775631500742942,0.99537750385208
