,model,mse,rmse,mae,r2
118,MLPRegressor,0.6179707759712861,0.7861111727811062,0.5927044672132515,0.3106583263922946
119,MLPRegressor,0.6140846150430846,0.7836355116015893,0.5893127129026907,0.31499330918164226
120,MLPRegressor,0.6280824782466513,0.792516547616926,0.6030390631409447,0.2993787998506594
121,MLPRegressor,0.6168602070614039,0.7854044862753229,0.5972317593065911,0.31189715751629343
122,MLPRegressor,0.5882354529527172,0.7669650923951605,0.5781650871675953,0.34382785176777697
123,MLPRegressor,0.59607918635533,0.7720616467325196,0.5862513610937562,0.3350782271555267
124,MLPRegressor,0.6224130508300051,0.7889315881811332,0.5988552251800332,0.3057030027672871
125,MLPRegressor,0.6642775827475115,0.8150322587158815,0.6236182377540216,0.25900343764390665
126,MLPRegressor,0.5891734157796135,0.767576325702932,0.586146430925646,0.3427815614090489
127,MLPRegressor,0.603207894559646,0.7766645959226196,0.5776744546213867,0.3271262076825985
128,MLPRegressor,0.6306752229160307,0.7941506298656639,0.6170927337249913,0.29648661300441526
129,MLPRegressor,0.5978546625518644,0.7732106197873024,0.5937333156042519,0.33309769703928294
130,MLPRegressor,0.6108343810056333,0.7815589427584034,0.5876667850056096,0.31861892038869644
131,MLPRegressor,0.5912815144677867,0.7689483171629851,0.5723669951924637,0.3404299934476812
132,MLPRegressor,0.6468807552812855,0.8042889749842935,0.5870869649123319,0.2784094656104944
133,MLPRegressor,0.613147349200457,0.7830372591393445,0.5983472124128816,0.3160388220597501
134,MLPRegressor,0.5926852962130141,0.7698605693325344,0.5780009433474956,0.3388640856487014
135,MLPRegressor,0.588444858389048,0.7671015958717906,0.5816494032365174,0.3435942616053361
136,GradientBoostingRegressor,0.7206495934243681,0.8489108277224222,0.6650056827966105,0.1961208909352231
137,GradientBoostingRegressor,0.6119542666218182,0.7822750581616533,0.6035734483824202,0.3173696965500824
138,GradientBoostingRegressor,0.7432733877387236,0.8621330452654762,0.6473398525185863,0.1708842214317141
139,GradientBoostingRegressor,1.7407964691392521,1.3193924621352253,0.9867072527025117,-0.9418451456070054
140,GradientBoostingRegressor,0.5260267069058777,0.7252769863341024,0.5534119703641229,0.4132212321352615
141,GradientBoostingRegressor,0.6424191476252343,0.8015105411816081,0.5926891836573263,0.2833863548230454
142,GradientBoostingRegressor,0.9809763724509899,0.990442513450927,0.7333860090077329,-0.0942716397747616
143,GradientBoostingRegressor,2.931362332755252,1.712122172263198,1.261163877748191,-2.269912259582295
144,GradientBoostingRegressor,0.5328525324941158,0.7299674872856433,0.5527619006112299,0.40560707590375555
145,GradientBoostingRegressor,0.6693316517132114,0.8181269166292058,0.591209608514118,0.2533656623723034
146,GradientBoostingRegressor,0.9459877923082515,0.9726190376032393,0.7429681360384957,-0.05524214626053525
147,GradientBoostingRegressor,2.91483568159699,1.7072889859648805,1.256597667702529,-2.25147690663108
148,XGBRegressor,0.6173780182716676,0.7857340633265606,0.5954110743801029,0.3113195430720911
149,SVR,0.9925449304202931,0.9962654919349024,0.7707865887214942,-0.10717627769918936
150,SVR,0.9944014524058536,0.9971967972300421,0.7726431107070547,-0.10924721377315572
151,SVR,0.785442184723589,0.8862517614784124,0.6908210448205179,0.12384525095308219
152,SVR,0.9925449304202931,0.9962654919349024,0.7707865887214942,-0.10717627769918936
153,SVR,0.9944014524058536,0.9971967972300421,0.7726431107070547,-0.10924721377315572
154,SVR,0.785442184723589,0.8862517614784124,0.6908210448205179,0.12384525095308219
155,SVR,0.9925449304202931,0.9962654919349024,0.7707865887214942,-0.10717627769918936
156,SVR,0.9944014524058536,0.9971967972300421,0.7726431107070547,-0.10924721377315572
157,SVR,0.785442184723589,0.8862517614784124,0.6908210448205179,0.12384525095308219
158,SVR,0.7397184195108221,0.8600688457971385,0.6590060726261283,0.17484976129723973
159,SVR,0.7539288882163346,0.8682907855185005,0.6702187463726433,0.1589980921551004
160,SVR,0.7602412339301837,0.8719181348786041,0.6847201019149466,0.1519567187957599
161,SVR,0.7397184195108221,0.8600688457971385,0.6590060726261283,0.17484976129723973
162,SVR,0.7539288882163346,0.8682907855185005,0.6702187463726433,0.1589980921551004
163,SVR,0.7602412339301837,0.8719181348786041,0.6847201019149466,0.1519567187957599
164,SVR,0.7397184195108221,0.8600688457971385,0.6590060726261283,0.17484976129723973
165,SVR,0.7539288882163346,0.8682907855185005,0.6702187463726433,0.1589980921551004
166,SVR,0.7602412339301837,0.8719181348786041,0.6847201019149466,0.1519567187957599
167,SVR,0.6014569775062514,0.7755365739320431,0.5857319195176858,0.329079342262528
168,SVR,0.5868589204606974,0.7660671775116706,0.5793163954174374,0.3453633632332388
169,SVR,0.6498501547277695,0.8061328393805636,0.646194148009106,0.2750971232415015
170,SVR,0.6014569775062514,0.7755365739320431,0.5857319195176858,0.329079342262528
171,SVR,0.5868589204606974,0.7660671775116706,0.5793163954174374,0.3453633632332388
172,SVR,0.6498501547277695,0.8061328393805636,0.646194148009106,0.2750971232415015
173,SVR,0.6014569775062514,0.7755365739320431,0.5857319195176858,0.329079342262528
174,SVR,0.5868589204606974,0.7660671775116706,0.5793163954174374,0.3453633632332388
175,SVR,0.6498501547277695,0.8061328393805636,0.646194148009106,0.2750971232415015
